campanha;rotulo_campanha;especie_CBRO;especie_CNAA;codigo_CNAA;nome_vulgar;familia;grupos;ordem;registros;data;mes;ano;estacao;local;latitude;longitude;imagem
1;jul-22-IR;Ardea alba;Casmerodius albus;EGRAL;garça-branca-grande;Ardeidae;Garças e Socós;Pelecaniformes;32;08/07/2022;julho;2022;chuvosa;Ilha da Restinga;-6,996267;-34,85576;ardea_alba.png
1;jul-22-IR;Bubulcus ibis;Ardea ibis;BUBIB;garça-vaqueira;Ardeidae;Garças e Socós;Pelecaniformes;5;08/07/2022;julho;2022;chuvosa;Ilha da Restinga;-6,996267;-34,85576;bubulcus_ibis.png
1;jul-22-IR;Butorides striata;Butorides striatus;BUTST;socozinho;Ardeidae;Garças e Socós;Pelecaniformes;1;08/07/2022;julho;2022;chuvosa;Ilha da Restinga;-6,996267;-34,85576;butorides_striata.png
1;jul-22-IR;Egretta caerulea;Egretta caerulea;EGRCA;garça-azul;Ardeidae;Garças e Socós;Pelecaniformes;37;08/07/2022;julho;2022;chuvosa;Ilha da Restinga;-6,996267;-34,85576;egretta_caerulea.png
1;jul-22-IR;Egretta thula;Egretta thula;EGRTH;garça-branca-pequena;Ardeidae;Garças e Socós;Pelecaniformes;90;08/07/2022;julho;2022;chuvosa;Ilha da Restinga;-6,996267;-34,85576;egretta_thula.png
1;jul-22-IR;Nycticorax nycticorax;Nycticorax nycticorax;NYCNY;socó-dorminhoco;Ardeidae;Garças e Socós;Pelecaniformes;1;08/07/2022;julho;2022;chuvosa;Ilha da Restinga;-6,996267;-34,85576;nycticorax_nycticorax.png
1;jul-22-IR;Vanellus chilensis;Vanellus chilensis;VANCH;quero-quero;Charadriidae;Batuiruçus e Batuíras;Charadriiformes;15;08/07/2022;julho;2022;chuvosa;Ilha da Restinga;-6,996267;-34,85576;vanellus_chilensis.png
1;jul-22-IR;Pluvialis squatarola;Pluvialis squatarola;PLUSQ;batuiruçu-de-axila-preta;Charadriidae;Batuiruçus e Batuíras;Charadriiformes;11;08/07/2022;julho;2022;chuvosa;Ilha da Restinga;-6,996267;-34,85576;pluvialis_squatarola.png
1;jul-22-IR;Numenius hudsonicus;Numenius phaeopus;NUMPH;maçarico-de-bico-torto;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;24;08/07/2022;julho;2022;chuvosa;Ilha da Restinga;-6,996267;-34,85576;numenius_hudsonicus.png
1;jul-22-IR;Tringa melanoleuca;Tringa melanoleuca;TRIME;maçarico-grande-de-perna-amarela;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;2;08/07/2022;julho;2022;chuvosa;Ilha da Restinga;-6,996267;-34,85576;tringa_melanoleuca.png
1;jul-22-IR;Tringa semipalmata;Catoptrophorus semipalmatus;CATSE;maçarico-de-asa-branca;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;2;08/07/2022;julho;2022;chuvosa;Ilha da Restinga;-6,996267;-34,85576;tringa_semipalmata.png
1;jul-22-IR;Arenaria interpres;Arenaria interpres;AREIN;vira-pedras;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;11;08/07/2022;julho;2022;chuvosa;Ilha da Restinga;-6,996267;-34,85576;arenaria_interpres.png
1;jul-22-IR;Calidris alba;Calidris alba;CALAA;maçarico-branco;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;19;08/07/2022;julho;2022;chuvosa;Ilha da Restinga;-6,996267;-34,85576;calidris_alba.png
1;jul-22-IR;Himantopus melanurus;Himantopus melanurus;HIMML;pernilongo-de-costas-brancas;Recurvirostridae;Pernilongo;Charadriiformes;2;08/07/2022;julho;2022;chuvosa;Ilha da Restinga;-6,996267;-34,85576;himantopus_melanurus.png
2;jul-22-LG;Ardea alba;Casmerodius albus;EGRAL;garça-branca-grande;Ardeidae;Garças e Socós;Pelecaniformes;11;12/07/2022;julho;2022;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;ardea_alba.png
2;jul-22-LG;Bubulcus ibis;Ardea ibis;BUBIB;garça-vaqueira;Ardeidae;Garças e Socós;Pelecaniformes;1;12/07/2022;julho;2022;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;bubulcus_ibis.png
2;jul-22-LG;Butorides striata;Butorides striatus;BUTST;socozinho;Ardeidae;Garças e Socós;Pelecaniformes;2;12/07/2022;julho;2022;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;butorides_striata.png
2;jul-22-LG;Egretta caerulea;Egretta caerulea;EGRCA;garça-azul;Ardeidae;Garças e Socós;Pelecaniformes;977;12/07/2022;julho;2022;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;egretta_caerulea.png
2;jul-22-LG;Egretta thula;Egretta thula;EGRTH;garça-branca-pequena;Ardeidae;Garças e Socós;Pelecaniformes;115;12/07/2022;julho;2022;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;egretta_thula.png
2;jul-22-LG;Vanellus chilensis;Vanellus chilensis;VANCH;quero-quero;Charadriidae;Batuiruçus e Batuíras;Charadriiformes;15;12/07/2022;julho;2022;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;vanellus_chilensis.png
2;jul-22-LG;Pluvialis squatarola;Pluvialis squatarola;PLUSQ;batuiruçu-de-axila-preta;Charadriidae;Batuiruçus e Batuíras;Charadriiformes;19;12/07/2022;julho;2022;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;pluvialis_squatarola.png
2;jul-22-LG;Charadrius semipalmatus;Charadrius semipalmatus;CHASE;batuíra-de-bando;Charadriidae;Batuiruçus e Batuíras;Charadriiformes;57;12/07/2022;julho;2022;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;charadrius_semipalmatus.png
2;jul-22-LG;Numenius hudsonicus;Numenius phaeopus;NUMPH;maçarico-de-bico-torto;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;34;12/07/2022;julho;2022;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;numenius_hudsonicus.png
2;jul-22-LG;Tringa spp.;Tringa spp. ;TRING;maçarico;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;2;12/07/2022;julho;2022;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;tringa_spp.png
2;jul-22-LG;Arenaria interpres;Arenaria interpres;AREIN;vira-pedras;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;7;12/07/2022;julho;2022;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;arenaria_interpres.png
2;jul-22-LG;Gelochelidon nilotica;Sterna nilotica;GELNI;trinta-reís-de-bico-preto;Laridae;Gaivotas e Trinta-réis;Charadriiformes;19;12/07/2022;julho;2022;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;gelochelidon_nilotica.png
2;jul-22-LG;Himantopus melanurus;Himantopus melanurus;HIMML;pernilongo-de-costas-brancas;Recurvirostridae;Pernilongo;Charadriiformes;2;12/07/2022;julho;2022;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;himantopus_melanurus.png
2;jul-22-LG;Aramides mangle;Aramides mangle;EULMA;saracura-do-mangue;Rallidae;Saracuras e Frangos d' água;Gruiformes;10;12/07/2022;julho;2022;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;aramides_mangle.png
4;fev-23-LG;Ardea cocoi;Ardea cocoi;ARDCO;garça-moura;Ardeidae;Garças e Socós;Pelecaniformes;1;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;ardea_cocoi.png
4;fev-23-LG;Ardea alba;Casmerodius albus;EGRAL;garça-branca-grande;Ardeidae;Garças e Socós;Pelecaniformes;70;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;ardea_alba.png
4;fev-23-LG;Bubulcus ibis;Ardea ibis;BUBIB;garça-vaqueira;Ardeidae;Garças e Socós;Pelecaniformes;7;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;bubulcus_ibis.png
4;fev-23-LG;Egretta caerulea;Egretta caerulea;EGRCA;garça-azul;Ardeidae;Garças e Socós;Pelecaniformes;366;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;egretta_caerulea.png
4;fev-23-LG;Egretta thula;Egretta thula;EGRTH;garça-branca-pequena;Ardeidae;Garças e Socós;Pelecaniformes;182;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;egretta_thula.png
4;fev-23-LG;Nycticorax nycticorax;Nycticorax nycticorax;NYCNY;socó-dorminhoco;Ardeidae;Garças e Socós;Pelecaniformes;1;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;nycticorax_nycticorax.png
4;fev-23-LG;Pluvialis squatarola;Pluvialis squatarola;PLUSQ;batuiruçu-de-axila-preta;Charadriidae;Batuiruçus e Batuíras;Charadriiformes;108;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;pluvialis_squatarola.png
4;fev-23-LG;Charadrius semipalmatus;Charadrius semipalmatus;CHASE;batuíra-de-bando;Charadriidae;Batuiruçus e Batuíras;Charadriiformes;308;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;charadrius_semipalmatus.png
4;fev-23-LG;Limnodromus griseus;Limnodromus griseus;LIMGR;maçarico-de-costas-brancas;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;240;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;limnodromus_griseus.png
4;fev-23-LG;Limosa haemastica;Limosa haemastica;LIMHA;maçarico-de-bico-virado;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;2;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;limosa_haemastica.png
4;fev-23-LG;Numenius hudsonicus;Numenius phaeopus;NUMPH;maçarico-de-bico-torto;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;200;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;numenius_hudsonicus.png
4;fev-23-LG;Tringa melanoleuca;Tringa melanoleuca;TRIME;maçarico-grande-de-perna-amarela;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;16;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;tringa_melanoleuca.png
4;fev-23-LG;Tringa flavipes;Tringa flavipes;TRIFL;maçarico-de-perna-amarela;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;1;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;tringa_flavipes.png
4;fev-23-LG;Actitis macularia;Actitis macularius;ACTMA;maçarico-pintado;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;7;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;actitis_macularia.png
4;fev-23-LG;Tringa semipalmata;Catoptrophorus semipalmatus;CATSE;maçarico-de-asa-branca;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;19;13/02/2023;fevereiro;2023;seca;Lagoa de Guaraíras;-6,188437;-35,119253;tringa_semipalmata.png
