contagem	especie_CBRO	especie_CNAA	codigo_CNAA	nome_vulgar	familia	grupos	ordem	registros	data	mes	ano	local	latitude	longitude	estacao	imagem
1	Ardea alba	Casmerodius albus	EGRAL	gra‡a-branca-grande	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	32	08/07/2022	julho	2022	Ilha da Restinga	-6,996267	-34,85576	chuvosa	ardea_alba.png
1	Bubulcus ibis	Ardea ibis	BUBIB	gar‡a-vaqueira	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	5	08/07/2022	julho	2022	Ilha da Restinga	-6,996267	-34,85576	chuvosa	bubulcus_ibis.png
1	Butorides striata	Butorides striatus	BUTST	socozinho	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	1	08/07/2022	julho	2022	Ilha da Restinga	-6,996267	-34,85576	chuvosa	butorides_striata.png
1	Egretta caerulea	Egretta caerulea	EGRCA	gar‡a-azul	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	37	08/07/2022	julho	2022	Ilha da Restinga	-6,996267	-34,85576	chuvosa	egretta_caerulea.png
1	Egretta thula	Egretta thula	EGRTH	gar‡a-branca-pequena	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	90	08/07/2022	julho	2022	Ilha da Restinga	-6,996267	-34,85576	chuvosa	egretta_thula.png
1	Nycticorax nycticorax	Nycticorax nycticorax	NYCNY	soc¢-dorminhoco	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	1	08/07/2022	julho	2022	Ilha da Restinga	-6,996267	-34,85576	chuvosa	nycticorax_nycticorax.png
1	Vanellus chilensis	Vanellus chilensis	VANCH	quero-quero	Charadriidae	Batuiru‡us e Batu¡ras	Charadriiformes	15	08/07/2022	julho	2022	Ilha da Restinga	-6,996267	-34,85576	chuvosa	vanellus_chilensis.png
1	Pluvialis squatarola	Pluvialis squatarola	PLUSQ	batuiru‡u-de-axila-preta	Charadriidae	Batuiru‡us e Batu¡ras	Charadriiformes	11	08/07/2022	julho	2022	Ilha da Restinga	-6,996267	-34,85576	chuvosa	pluvialis_squatarola.png
1	Numenius hudsonicus	Numenius phaeopus	NUMPH	ma‡arico-de-bico-torto	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	24	08/07/2022	julho	2022	Ilha da Restinga	-6,996267	-34,85576	chuvosa	numenius_hudsonicus.png
1	Tringa melanoleuca	Tringa melanoleuca	TRIME	ma‡arico-grande-de-perna-amarela	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	2	08/07/2022	julho	2022	Ilha da Restinga	-6,996267	-34,85576	chuvosa	tringa_melanoleuca.png
1	Tringa semipalmata	Catoptrophorus semipalmatus	CATSE	ma‡arico-de-asa-branca	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	2	08/07/2022	julho	2022	Ilha da Restinga	-6,996267	-34,85576	chuvosa	tringa_sempalmata.png
1	Arenaria interpres	Arenaria interpres	AREIN	vira-pedras	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	11	08/07/2022	julho	2022	Ilha da Restinga	-6,996267	-34,85576	chuvosa	arenaria_interpres.png
1	Calidris alba	Calidris alba	CALAA	ma‡arico-branco	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	19	08/07/2022	julho	2022	Ilha da Restinga	-6,996267	-34,85576	chuvosa	calidris_alba.png
