	IR_chuvosa	IR_seca
Ardea_alba	52	30
Bubulcus_ibis	5	1
Butorides_striata	9	1
Egretta_caerulea	67	0
Egretta_thula	207	46
Nyctanassa_violacea	1	10
Nycticorax_nycticorax	1	1
Vanellus_chilensis	16	0
Pluvialis_squatarola	11	30
Numenius_hudsonicus	55	104
Tringa_flavipes	0	2
Tringa_melanoleuca	4	2
Charadrius_collaris	0	1
Charadrius_semipalmatus	3	129
Tringa_semipalmata	4	11
Arenaria_interpres	12	3
Sterna_hirundo	11	0
Thalasseus_acuflavidus	2	0
Actitis_macularia	0	73
Calidris_pusilla	0	32
Calidris_lba	19	1
Himantopus_melanurus	2	0
