	LG_2023_seca	LG_2023_chuvosa
Ardea_cocoi	1	1
Ardea_alba	70	37
Bubulcus_ibis	7	1
Egretta_caerulea	366	330
Egretta_thula	182	150
Nyctanassa_violacea	0	4
Nycticorax_nycticorax	1	1
Vanellus_chilensis	0	4
Pluvialis_squatarola	108	15
Numenius_hudsonicus	200	61
Tringa_flavipes	1	3
Tringa_melanoleuca	16	3
Charadrius_collaris	0	2
Charadrius_semipalmatus	308	142
Tringa_semipalmata	19	2
Arenaria_interpres	21	7
Sterna_spp	4	0
Actitis_macularia	7	0
Calidris_pusilla	519	0
Aramides_mangle	0	8
Limosa_haemastica	2	0
Limnodromus_griseus	240	0
Himantopus_melanurus	0	5
