	Total_2022	Total_2023
Ardea_cocoi	0	2
Ardea_alba	43	157
Bubulcus_ibis	6	9
Butorides_striata	3	9
Egretta_caerulea	1014	726
Egretta_thula	205	495
Nyctanassa_violacea	0	15
Nycticorax_nycticorax	1	3
Vanellus_chilensis	30	5
Pluvialis_squatarola	30	153
Numenius_hudsonicus	58	396
Tringa_flavipes	0	6
Tringa_melanoleuca	2	23
Charadrius_collaris	0	3
Charadrius_semipalmatus	57	582
Tringa_spp	2	0
Tringa_semipalmata	2	34
Arenaria_interpres	18	32
Sterna_spp	0	4
Sterna_hirundo	0	11
Thalasseus_acuflavidus	0	2
Gelochelidon_nilotica	19	0
Actitis_macularia	0	80
Calidris_pusilla	0	551
Calidris_lba	19	1
Aramides_mangle	10	8
Limosa_haemastica	0	2
Limnodromus_griseus	0	240
Himantopus_melanurus	4	5
