	cnaa_est_chuvosa	cnaa_est_seca
Ardea_cocoi	1	1
Ardea_alba	100	100
Bubulcus_ibis	7	8
Butorides_striata	11	1
Egretta_caerulea	1374	366
Egretta_thula	472	228
Nyctanassa_violacea	5	10
Nycticorax_nycticorax	2	2
Vanellus_chilensis	35	0
Pluvialis_squatarola	45	138
Numenius_hudsonicus	150	304
Tringa_flavipes	3	3
Tringa_melanoleuca	7	18
Charadrius_collaris	2	1
Charadrius_semipalmatus	202	437
Tringa_spp	2	0
Tringa_semipalmata	6	30
Arenaria_interpres	26	24
Sterna_spp	0	4
Sterna_hirundo	11	0
Thalasseus_acuflavidus	2	0
Gelochelidon_nilotica	19	0
Actitis_macularia	0	80
Calidris_pusilla	0	551
Calidris_lba	19	1
Aramides_mangle	18	0
Limosa_haemastica	0	2
Limnodromus_griseus	0	240
Himantopus_melanurus	9	0

