	IR_2023_seca	IR_2023_chuvosa
Ardea_cocoi	0	0
Ardea_alba	30	20
Bubulcus_ibis	1	0
Butorides_striata	1	8
Egretta_caerulea	0	30
Egretta_thula	46	117
Nyctanassa_violacea	10	1
Nycticorax_nycticorax	1	0
Vanellus_chilensis	0	1
Pluvialis_squatarola	30	0
Numenius_hudsonicus	104	31
Tringa_flavipes	2	0
Tringa_melanoleuca	2	2
Charadrius_collaris	1	0
Charadrius_semipalmatus	129	3
Tringa_spp	0	0
Tringa_semipalmata	11	2
Arenaria_interpres	3	1
Sterna_spp	0	0
Sterna_hirundo	0	11
Thalasseus_acuflavidus	0	2
Gelochelidon_nilotica	0	0
Actitis_macularia	73	0
Calidris_pusilla	32	0
Calidris_lba	1	0
Aramides_mangle	0	0
Limosa_haemastica	0	0
Limnodromus_griseus	0	0
Himantopus_melanurus	0	0
