	IR_jul_2022	LG_jul_2022	IR_fev_2023	LG_fev_2023	IR_ju_2023	LG_jul_2023
Ardea_cocoi	0	0	0	1	0	1
Ardea_alba	32	11	30	70	20	37
Bubulcus_ibis	5	1	1	7	0	1
Butorides_striata	1	2	1	0	8	0
Egretta_caerulea	37	977	0	366	30	330
Egretta_thula	90	115	46	182	117	150
Nyctanassa_violacea	0	0	10	0	1	4
Nycticorax_nycticorax	1	0	1	1	0	1
Vanellus_chilensis	15	15	0	0	1	4
Pluvialis_squatarola	11	19	30	108	0	15
Numenius_hudsonicus	24	34	104	200	31	61
Tringa_flavipes	0	0	2	1	0	3
Tringa_melanoleuca	2	0	2	16	2	3
Charadrius_collaris	0	0	1	0	0	2
Charadrius_semipalmatus	0	57	129	308	3	142
Tringa_spp	0	2	0	0	0	0
Tringa_semipalmata	2	0	11	19	2	2
Arenaria_interpres	11	7	3	21	1	7
Sterna_spp	0	0	0	4	0	0
Sterna_hirundo	0	0	0	0	11	0
Thalasseus_acuflavidus	0	0	0	0	2	0
Gelochelidon_nilotica	0	19	0	0	0	0
Actitis_macularia	0	0	73	7	0	0
Calidris_pusilla	0	0	32	519	0	0
Calidris_lba	19	0	1	0	0	0
Aramides_mangle	0	10	0	0	0	8
Limosa_haemastica	0	0	0	2	0	0
Limnodromus_griseus	0	0	0	240	0	0
Himantopus_melanurus	2	2	0	0	0	5
