	Total_IR	Total_LG
Ardea_cocoi	0	2
Ardea_alba	82	118
Bubulcus_ibis	6	9
Butorides_striata	10	2
Egretta_caerulea	67	1673
Egretta_thula	253	447
Nyctanassa_violacea	11	4
Nycticorax_nycticorax	2	2
Vanellus_chilensis	16	19
Pluvialis_squatarola	41	142
Numenius_hudsonicus	159	295
Tringa_flavipes	2	4
Tringa_melanoleuca	6	19
Charadrius_collaris	1	2
Charadrius_semipalmatus	132	507
Tringa_spp	0	2
Tringa_semipalmata	15	21
Arenaria_interpres	15	35
Sterna_spp	0	4
Sterna_hirundo	11	0
Thalasseus_acuflavidus	2	0
Gelochelidon_nilotica	0	19
Actitis_macularia	73	7
Calidris_pusilla	32	519
Calidris_lba	20	0
Aramides_mangle	0	18
Limosa_haemastica	0	2
Limnodromus_griseus	0	240
Himantopus_melanurus	2	7
