especie;nome_comum_ingles;nome_comum_portugues;categoria_ameaca;imagem;macho;femea_jovem;audio;video
Schistochlamys melanopis;Black-faced Tanager;Sanhaço-de-coleira;LC - Pouco Preocupante;Schistochlamys_melanopis.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/69352741/embed;https://macaulaylibrary.org/asset/466210/embed
Ara ararauna;Blue-and-yellow Macaw;Arara-canindé;LC - Pouco Preocupante;Ara_ararauna.JPG;https://macaulaylibrary.org/asset/20265711/embed;https://macaulaylibrary.org/asset/45283901/embed;https://macaulaylibrary.org/asset/44407/embed;https://macaulaylibrary.org/asset/201429171/embed
Primolius maracana;Blue-winged Macaw;Maracanã;NT - Quase Amea‡ada;Primolius_maracana.JPG;https://macaulaylibrary.org/asset/640504719/embed;https://macaulaylibrary.org/asset/204213461/embed;https://macaulaylibrary.org/asset/220137/embed;https://macaulaylibrary.org/asset/201174231/embed
Crypturellus obsoletus;Brown Tinamou;Inhambu-a‡u;LC - Pouco Preocupante;Crypturellus_obsoletus.JPG;https://macaulaylibrary.org/asset/641465576/embed;https://macaulaylibrary.org/asset/641345390/embed;https://macaulaylibrary.org/asset/164251/embed;https://macaulaylibrary.org/asset/592853061/embed
Icterus jamacaii;Campo Troupial;Corrupião;LC - Pouco Preocupante;Icterus_jamacaii.JPG;https://macaulaylibrary.org/asset/62837191/embed;https://macaulaylibrary.org/asset/148803961/embed;https://macaulaylibrary.org/asset/181252/embed;https://macaulaylibrary.org/asset/201202801/embed
Turdus fumigatus;Cocoa Thrush;Sabi -da-mata;LC - Pouco Preocupante;Turdus_fumigatus.JPG;https://macaulaylibrary.org/asset/641274990/embed;https://macaulaylibrary.org/asset/37383291/embed;https://macaulaylibrary.org/asset/640047437/embed;https://macaulaylibrary.org/asset/634668958/embed
Campephilus melanoleucos;Crimson-crested Woodpecker;Pica-pau-de-topete-vermelho;LC - Pouco Preocupante;Campephilus_melanoleucos.JPG;https://macaulaylibrary.org/asset/641775144/embed;https://macaulaylibrary.org/asset/641775143/embed;https://macaulaylibrary.org/asset/65167/embed;https://macaulaylibrary.org/asset/615334790/embed
Stephanophorus diadematus;Diademed Tanager;Sanhaço-frade;LC - Pouco Preocupante;Stephanophorus_diadematus.JPG;https://macaulaylibrary.org/asset/641692715/embed;https://macaulaylibrary.org/asset/641624825/embed;https://macaulaylibrary.org/asset/63642/embed;https://macaulaylibrary.org/asset/201174251/embed
Penelope obscura;Dusky-legged Guan;Jacuguaçu;LC - Pouco Preocupante;Penelope_obscura.JPG;https://macaulaylibrary.org/asset/641609302/embed;https://macaulaylibrary.org/asset/641609302/embed;https://macaulaylibrary.org/asset/179854/embed;https://macaulaylibrary.org/asset/638564902/embed
Guaruba guarouba;Golden Parakeet;Ararajuba;VU - Vulnerável;Guaruba_guarouba.JPG;https://macaulaylibrary.org/asset/109254541/embed;https://macaulaylibrary.org/asset/171490841/embed;https://macaulaylibrary.org/asset/127438/embed;https://macaulaylibrary.org/asset/630029413/embed
Attila rufus;Gray-hooded Attila;Capitão-de-sa¡ra;LC - Pouco Preocupante;Attila_rufus.JPG;https://macaulaylibrary.org/asset/476922941/embed;https://macaulaylibrary.org/asset/476922941/embed;https://macaulaylibrary.org/asset/137395/embed;https://macaulaylibrary.org/asset/617328534/embed
Pitangus sulphuratus;Great Kiskadee;Bem-te-vi;LC - Pouco Preocupante;Pitangus_sulphuratus.JPG;https://macaulaylibrary.org/asset/641859787/embed;https://macaulaylibrary.org/asset/641799838/embed;https://macaulaylibrary.org/asset/7879/embed;https://macaulaylibrary.org/asset/466423/embed
Ardea alba;Great-egret;Garça-branca-grande;LC - Pouco Preocupante;Ardea_alba.JPG;https://macaulaylibrary.org/asset/641869559/embed;https://macaulaylibrary.org/asset/641870776/embed;https://macaulaylibrary.org/asset/134193/embed;https://macaulaylibrary.org/asset/464557/embed
Saltator similis;Green-winged Saltator;Trinca-ferro;LC - Pouco Preocupante;Saltator_similis.JPG;https://macaulaylibrary.org/asset/641871832/embed;https://macaulaylibrary.org/asset/641820520/embed;https://macaulaylibrary.org/asset/22094/embed;https://macaulaylibrary.org/asset/381327161/embed
Opisthocomus hoazin;Hoatzin;Aturiá;LC - Pouco Preocupante;Opisthocomus_hoazin.JPG;https://macaulaylibrary.org/asset/641536757/embed;https://macaulaylibrary.org/asset/641536757/embed;https://macaulaylibrary.org/asset/188526/embed;https://macaulaylibrary.org/asset/201921901/embed
Anhima cornuta;Horned Screamer;Anhuma;LC - Pouco Preocupante;Anhima_cornuta.JPG;https://macaulaylibrary.org/asset/641290434/embed;https://macaulaylibrary.org/asset/641290434/embed;https://macaulaylibrary.org/asset/58926/embed;https://macaulaylibrary.org/asset/629885221/embed
Anodorhynchus leari;Indigo Macaw;Arara-azul-de-lear;EN - Em Perigo;Anodorhynchus_leari.JPG;https://macaulaylibrary.org/asset/204867981/embed;https://macaulaylibrary.org/asset/312879911/embed;https://macaulaylibrary.org/asset/57779/embed;https://macaulaylibrary.org/asset/201660721/embed
Cyphorhinus arada;Musician Wren;Uirapuru-da-Guiana;LC - Pouco Preocupante;Cyphorhinus_arada.JPG;https://macaulaylibrary.org/asset/635756773/embed;https://macaulaylibrary.org/asset/635577723/embed;https://macaulaylibrary.org/asset/190127/embed;https://macaulaylibrary.org/asset/201184531/embed
Patagioenas plumbea (Columba plumbea);Plumbeous Pigeon;Pomba-amargosa;LC - Pouco Preocupante;Patagioenas_plumbea.JPG;https://macaulaylibrary.org/asset/641293453/embed;https://macaulaylibrary.org/asset/641202010/embed;https://macaulaylibrary.org/asset/641393938/embed;https://macaulaylibrary.org/asset/201945331/embed
Ara chloropterus;Red-and-green Macaw;Arara-vermelha;LC - Pouco Preocupante;Ara_chloropterus.JPG;https://macaulaylibrary.org/asset/641594552/embed;https://macaulaylibrary.org/asset/641653206/embed;https://macaulaylibrary.org/asset/46887/embed;https://macaulaylibrary.org/asset/201589631/embed
Orthopsittaca manilatus;Red-bellied Macaw;Arara-de-barriga-ruiva;LC - Pouco Preocupante;Orthopsittaca_manilatus.JPG;https://macaulaylibrary.org/asset/641449503/embed;https://macaulaylibrary.org/asset/641678611/embed;https://macaulaylibrary.org/asset/29289/embed;https://macaulaylibrary.org/asset/200932971/embed
Diopsittaca nobilis;Red-shouldered Macaw;Maracanã-pequena;LC - Pouco Preocupante;Diopsittaca_nobilis.JPG;https://macaulaylibrary.org/asset/641700340/embed;https://macaulaylibrary.org/asset/641700340/embed;https://macaulaylibrary.org/asset/225004/embed;https://macaulaylibrary.org/asset/201203311/embed
Furnarius rufus;Rufous Hornero;João-de-barro;LC - Pouco Preocupante;Furnarius_rufus.JPG;https://macaulaylibrary.org/asset/641799206/embed;https://macaulaylibrary.org/asset/641638909/embed;https://macaulaylibrary.org/asset/641817398/embed;https://macaulaylibrary.org/asset/409974131/embed
Cyclarhis gujanensis;Rufous-browed Peppershrike;Pitiguari;LC - Pouco Preocupante;Cyclarhis_gujanensis.JPG;https://macaulaylibrary.org/asset/594076081/embed;https://macaulaylibrary.org/asset/143161281/embed;https://macaulaylibrary.org/asset/211118/embed;https://macaulaylibrary.org/asset/201710921/embed
Ara macao;Scarlet Macaw;Araracanga;LC - Pouco Preocupante;Ara_macao.JPG;https://macaulaylibrary.org/asset/641798451/embed;https://macaulaylibrary.org/asset/641798451/embed;https://macaulaylibrary.org/asset/201118/embed;https://macaulaylibrary.org/asset/200946461/embed
Troglodytes musculus (Troglodytes aedon);Southern House Wren;Corru¡ra-de-casa;LC - Pouco Preocupante;Troglodytes_musculus.JPG;https://macaulaylibrary.org/asset/641837736/embed;https://macaulaylibrary.org/asset/641794840/embed;https://macaulaylibrary.org/asset/622217835/embed;https://macaulaylibrary.org/asset/616552251/embed
Cyanopsitta spixi;Spix's Macaw;Ararinha-azul;CR - Criticamente Ameaçada;Cyanopsitta_spixi.JPG;https://macaulaylibrary.org/asset/626503331/embed;https://macaulaylibrary.org/asset/638281121/embed;https://macaulaylibrary.org/asset/57099/embed;https://macaulaylibrary.org/asset/721018/embed
Chiroxiphia caudata;Swallow-tailed Manakin;Tangar ;LC - Pouco Preocupante;Chiroxiphia_caudata.JPG;https://macaulaylibrary.org/asset/641627072/embed;https://macaulaylibrary.org/asset/641627072/embed;https://macaulaylibrary.org/asset/641517372/embed;https://macaulaylibrary.org/asset/201719411/embed
